Date,Temperature,%Humidit�,Vitesse du vent(m/s),Visibilit�,Temperature des points de ros�,Radiation solaire,Chute de pluie,Chute de neige,saison,vacance,Jour de Travail,Nombre de Trotinette lou�
2017-12-02,-1.8,87,1.1,994,-3.6,0,0,0,Hiver,No,Yes,8571
2017-12-03,4,58,1.4,1296,-3.5,0,0,0,Hiver,No,Yes,7545
2017-12-04,4.2,88,0.6,216,2.3,0,0,0,Hiver,No,Yes,8777
2017-12-05,-6.1,42,2.6,2000,-16.9,0,0,0,Hiver,No,Yes,8355
2017-12-07,1.4,92,0.5,240,0.2,0,0,0.9,Hiver,No,Yes,8661
2017-12-08,-3.5,49,2.6,1893,-12.6,0,0,0,Hiver,No,Yes,8080
2017-12-09,-3.5,48,0.9,1967,-12.9,0,0,0,Hiver,No,Yes,7281
2017-12-10,-0.2,55,1,1629,-8.1,0,0,0,Hiver,No,Yes,3501
2017-12-11,-2.5,39,3.4,2000,-14.5,0,0,0,Hiver,No,Yes,5896
2017-12-12,-11,51,1.1,2000,-19.1,0,0,0,Hiver,No,Yes,5544
2017-12-13,-9.5,48,1.3,1996,-18.4,0,0,0,Hiver,No,Yes,6067
2017-12-15,-5.7,53,0.6,1262,-13.7,0,0,0,Hiver,No,Yes,7246
2017-12-16,-2.6,73,3.4,787,-6.7,0,0,0,Hiver,No,Yes,4680
2017-12-17,-8.1,41,2,2000,-19,0,0,0,Hiver,No,Yes,3824
2017-12-18,-5.9,50,0.6,2000,-14.6,0,0,0,Hiver,No,Yes,2668
2017-12-19,-1,73,2.3,881,-5.2,0,0,2.6,Hiver,No,Yes,4382
2017-12-20,-6.5,63,1.5,1666,-12.3,0,0,2,Hiver,No,Yes,4616
2017-12-21,-1.3,90,2,259,-2.7,0,0,2.2,Hiver,No,Yes,5782
2017-12-22,-1.7,79,0.5,794,-4.8,0,0,0.8,Hiver,No,Yes,7232
2017-12-23,5.8,75,1.9,788,1.7,0,0,0,Hiver,No,Yes,6672
2017-12-25,-0.6,64,2.4,1010,-6.5,0,0,0,Hiver,No,Yes,4014
2017-12-26,-1.4,58,1,1880,-8.6,0,0,0,Hiver,No,Yes,5653
2017-12-27,-7.9,37,2.2,2000,-20,0,0,0,Hiver,No,Yes,5399
2017-12-28,-6.5,41,1.7,2000,-17.6,0,0,0,Hiver,No,Yes,6642
2017-12-29,0.2,63,0.7,925,-6,0,0,0,Hiver,No,Yes,7711
2017-12-30,-0.4,83,1.2,247,-2.9,0,0,0,Hiver,No,Yes,4075
2017-12-31,0.9,95,1.8,63,0.1,0,0.2,0.2,Hiver,No,Yes,3471
2018-01-01,-3.2,40,0.5,1358,-14.9,0,0,0,Hiver,No,Yes,4338
2018-01-02,-1.8,54,1.1,1772,-9.8,0,0,0,Hiver,No,Yes,6494
2018-01-03,-4.3,38,1.4,2000,-16.5,0,0,0,Hiver,No,Yes,6560
2018-01-04,-6.3,54,1.4,1990,-14.1,0,0,0,Hiver,No,Yes,6501
2018-01-05,-4.7,52,1.8,1611,-13,0,0,0,Hiver,No,Yes,7015
2018-01-06,-4.3,52,1.6,1247,-12.7,0,0,0,Hiver,No,Yes,5228
2018-01-07,-3.8,48,0.7,1574,-13.2,0,0,0,Hiver,No,Yes,4762
2018-01-08,0.9,42,1.1,1271,-10.5,0,0,0,Hiver,No,Yes,5759
2018-01-09,-1.2,67,4.6,983,-6.5,0,0,1,Hiver,No,Yes,5548
2018-01-10,-5.2,82,0.8,152,-7.7,0,0.5,0.5,Hiver,No,Yes,4209
2018-01-11,-10.3,54,2.4,1988,-17.8,0,0,0,Hiver,No,Yes,4065
2018-01-12,-13.6,49,1.6,2000,-22,0,0,0,Hiver,No,Yes,4159
2018-01-13,-6.6,39,1.6,1930,-18.2,0,0,0,Hiver,No,Yes,3551
2018-01-15,3,60,0.5,842,-4,0,0,0,Hiver,No,Yes,6593
2018-01-16,1.8,67,1.2,387,-3.6,0,0,0,Hiver,No,Yes,6753
2018-01-18,2.7,73,1,290,-1.6,0,0,0,Hiver,No,Yes,6431
2018-01-20,-0.6,60,0.6,1433,-7.4,0,0,0,Hiver,No,Yes,5624
2018-01-21,-0.3,60,1.9,340,-7.1,0,0,0,Hiver,No,Yes,5021
2018-01-22,-0.2,30,0.4,2000,-15.7,0,0,0,Hiver,No,Yes,4551
2018-01-23,-5.3,77,3.8,894,-8.7,0,0,1,Hiver,No,Yes,4029
2018-01-24,-14.6,34,3.9,2000,-27,0,0,0.9,Hiver,No,Yes,3202
2018-01-25,-15.9,43,3.8,2000,-25.6,0,0,0.7,Hiver,No,Yes,3161
2018-01-26,-15.1,34,1.7,2000,-27.4,0,0,0.5,Hiver,No,Yes,2979
2018-01-27,-15,42,1.2,1766,-25,0,0,0.3,Hiver,No,Yes,2741
2018-01-28,-7.5,36,2.3,1972,-20,0,0,0,Hiver,No,Yes,2876
